label,latent_idx,final_selected,selection_count,selection_frequency,mean_selected_step,candidate_order,candidate_source,edge_type,stable_edge,positive_support,negative_boundary,association_rank,directional_auc,abs_cohens_d,formal_edge_weight
RES,20808,False,1,0.2,1.0,1,filtered_top200,filtered_topk,False,False,False,1,0.6387069,0.7116696,0.0
RES,664,False,0,0.0,,2,filtered_top200,filtered_topk,False,False,False,2,0.65544766,0.57425636,0.0
RES,13430,True,2,0.4,1.5,3,filtered_top200,filtered_topk,False,False,False,3,0.62888026,0.5586691,0.0
RES,11660,True,5,1.0,6.2,4,filtered_top200,filtered_topk,False,False,False,4,0.62483704,0.54793614,0.0
RES,11435,False,1,0.2,2.0,5,filtered_top200,filtered_topk,False,False,False,5,0.6231169,0.5004963,0.0
RES,31585,True,2,0.4,4.0,6,filtered_top200,filtered_topk,False,False,False,6,0.6225797,0.50046855,0.0
RES,9959,True,2,0.4,4.5,7,filtered_top200,filtered_topk,False,False,False,7,0.6117647,0.495975,0.0
RES,1137,True,2,0.4,1.0,8,filtered_top200,filtered_topk,False,False,False,8,0.63527143,0.47939008,0.0
RES,13703,False,0,0.0,,9,filtered_top200,filtered_topk,False,False,False,9,0.6236607,0.47093692,0.0
RES,28269,True,3,0.6,8.333333333333334,10,filtered_top200,filtered_topk,False,False,False,10,0.57458586,0.46738258,0.0
RES,10916,False,0,0.0,,11,filtered_top200,filtered_topk,False,False,False,11,0.60857266,0.44588712,0.0
RES,29759,True,2,0.4,2.5,12,filtered_top200,filtered_topk,False,False,False,12,0.6175926,0.4349086,0.0
RES,6743,True,3,0.6,7.333333333333333,13,filtered_top200,filtered_topk,False,False,False,13,0.59372073,0.42799348,0.0
RES,27061,False,0,0.0,,14,filtered_top200,filtered_topk,False,False,False,14,0.5918126,0.42211738,0.0
RES,1516,False,0,0.0,,15,filtered_top200,filtered_topk,False,False,False,15,0.61571187,0.42111248,0.0
RES,19435,False,1,0.2,4.0,16,filtered_top200,filtered_topk,False,False,False,16,0.57857394,0.41644457,0.0
RES,8468,False,1,0.2,6.0,17,filtered_top200,filtered_topk,False,False,False,17,0.56615984,0.40368426,0.0
RES,21935,False,0,0.0,,18,filtered_top200,filtered_topk,False,False,False,18,0.58348507,0.38779986,0.0
RES,8104,True,2,0.4,7.0,19,filtered_top200,filtered_topk,False,False,False,19,0.6021953,0.3850928,0.0
RES,29590,False,0,0.0,,20,filtered_top200,filtered_topk,False,False,False,20,0.5848902,0.38368267,0.0
