label,latent_idx,n_positive,n_negative,prevalence,pos_mean,neg_mean,mean_diff,cohens_d,abs_cohens_d,auc,directional_auc,auc_effect,p_value,significant_fdr,precision_at_10,precision_lift_at_10,precision_at_50,precision_lift_at_50,full_data_rank,inclusion_frequency,inclusion_count,n_half_runs,cohens_d_ci_lo,cohens_d_ci_hi,ci_excludes_zero,rank_within_label,cross_quality_max_auc_drop,cross_quality_tested,top_k_star,label_selection_status,stable_claim_allowed,ci_supported,cross_quality_stable,cross_quality_risk_or_missing,stable_set_role
RE,29759,1358,4836,0.219244430093639,0.47929513,0.11579737,0.36349776,0.8470445,0.8470445,0.69358575,0.69358575,0.3871715,0.0,True,0.4,0.18075557,0.54,0.3207556,1,1.0,100,100,0.7525061711668968,0.9540702521800994,True,1,0.0450989007949829,True,66,stable_topk_found,True,True,True,False,stable_core
RE,19435,1358,4836,0.219244430093639,0.778828,0.24235027,0.53647774,0.8193015,0.8193015,0.65258545,0.65258545,0.3051709,0.0,True,0.8,0.5807556,0.8,0.5807556,2,1.0,100,100,0.7230257734656333,0.9188622877001762,True,2,0.0695397853851318,True,66,stable_topk_found,True,True,False,True,stable_core
RE,31930,1358,4836,0.219244430093639,1.2356594,0.46985176,0.7658076,0.6844043,0.6844043,0.64022064,0.64022064,0.28044128,0.0,True,0.5,0.28075558,0.36,0.14075558,3,1.0,100,100,0.5965520024299622,0.7741487041115761,True,3,0.0561482310295105,True,66,stable_topk_found,True,True,False,True,stable_core
RE,30224,1358,4836,0.219244430093639,0.25221488,0.06802012,0.18419476,0.683084,0.683084,0.61732846,0.61732846,0.23465693,0.0,True,0.7,0.48075557,0.58,0.36075556,4,1.0,100,100,0.5823197782039642,0.7828398466110229,True,4,0.0476830005645751,True,66,stable_topk_found,True,True,True,False,stable_core
RE,14875,1358,4836,0.219244430093639,0.34207878,0.12309494,0.21898383,0.6773471,0.6773471,0.63771486,0.63771486,0.27542973,0.0,True,0.2,-0.019244432,0.3,0.08075558,5,1.0,100,100,0.5874362885951996,0.771280562877655,True,5,0.0499723553657531,True,66,stable_topk_found,True,True,True,False,stable_core
RE,5663,1358,4836,0.219244430093639,1.1521806,0.45886603,0.69331455,0.6631307,0.6631307,0.6438937,0.6438937,0.28778744,0.0,True,0.2,-0.019244432,0.26,0.040755555,6,1.0,100,100,0.5770615980029106,0.7522367432713508,True,6,0.054859459400177,True,66,stable_topk_found,True,True,False,True,stable_core
RE,1516,1358,4836,0.219244430093639,0.6746925,0.23414923,0.4405433,0.6625647,0.6625647,0.66346186,0.66346186,0.32692373,0.0,True,0.3,0.08075558,0.28,0.060755566,7,1.0,100,100,0.5783719122409821,0.7508561536669731,True,7,0.0215154290199279,True,66,stable_topk_found,True,True,True,False,stable_core
RE,7054,1358,4836,0.219244430093639,0.46906355,0.111073285,0.35799026,0.6581278,0.6581278,0.60761786,0.60761786,0.21523571,0.0,True,0.5,0.28075558,0.42,0.20075555,8,1.0,100,100,0.5713105484843254,0.7515566617250442,True,8,0.0128667950630187,True,66,stable_topk_found,True,True,True,False,stable_core
RE,26319,1358,4836,0.219244430093639,0.3778851,0.07387627,0.30400884,0.6578204,0.6578204,0.5968318,0.5968318,0.1936636,0.0,True,0.2,-0.019244432,0.52,0.30075556,9,1.0,100,100,0.5633148670196533,0.757088914513588,True,9,0.0263658761978149,True,66,stable_topk_found,True,True,True,False,stable_core
RE,3993,1358,4836,0.219244430093639,0.19007444,0.039734542,0.1503399,0.6380426,0.6380426,0.5915274,0.5915274,0.1830548,0.0,True,0.8,0.5807556,0.6,0.3807556,10,1.0,100,100,0.5519920796155929,0.72409298568964,True,10,0.0319951176643371,True,66,stable_topk_found,True,True,True,False,stable_core
