feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F001,20808,0.7537516475318294,0.8405996075735703,0.6866666666666666,1.0
F002,11435,0.0463936709514137,0.051856876711927645,0.38666666666666666,0.76
F003,28269,0.4852172610246218,0.610869667653657,0.6666666666666666,0.88
F004,29759,0.39955441129098307,0.37822967725345674,0.6533333333333333,0.8
F005,1516,-0.12658164281473472,-0.013162364616219318,0.5333333333333333,0.3
F006,19435,0.9373575286107384,0.8470743746875045,0.9866666666666667,1.0
F007,8468,0.5288632120347272,0.4543543520014856,0.8200000000000001,0.8
F008,2767,0.7965219087213623,0.8065797164302306,0.9733333333333333,0.8
F009,26319,0.8085267411187462,0.8126600793682296,0.9,0.84
F010,17442,0.8832732019327705,0.7896672499933781,0.9666666666666667,0.96
F011,32727,0.1462713166602755,0.018814683355600683,0.4866666666666667,0.76
F012,29701,0.09377545827177144,-0.14820132442099743,0.6266666666666666,0.34
F013,31930,0.8195103926930496,0.9638372586700712,0.8333333333333333,1.0
F014,13966,0.8495529028000708,0.800995496620021,1.0,0.86
F015,31133,0.8983867735837766,0.8411714584759634,0.9666666666666667,1.0
F016,20436,0.20841767917914905,0.18469524841088092,0.47333333333333333,0.68
F017,26800,0.752581615188795,0.8137419936362952,1.0,1.0
F018,3993,0.5768067813261141,0.5345199071249025,0.9733333333333333,0.54
F019,30224,0.4408275440390791,0.38359283298540064,0.8066666666666666,0.6
F020,16292,0.8580394478882039,0.9045154469539938,0.8333333333333333,1.0
F021,10181,0.5705545350258698,0.6225980143566378,0.7466666666666666,0.92
F022,15068,0.9281713910840508,0.8022730748989925,0.9666666666666667,1.0
F023,21800,0.6955053497383913,0.670546214796771,0.8933333333333333,0.76
F024,23670,0.7723455271303388,0.766318108996905,1.0,0.8
F025,29874,0.7615720373288785,0.7060002910582094,0.9333333333333333,0.88
F026,29190,0.8276960579659031,0.8598413681535421,0.9666666666666667,0.8400000000000001
F027,3805,0.21380447680886117,0.2131763165609739,0.7733333333333333,0.36
F028,19005,0.7627402869456362,0.7633039648759401,0.9333333333333333,0.88
F029,7054,0.6898603669262969,0.6920493905871464,0.7866666666666666,0.8400000000000001
F030,28688,0.7952858054368407,0.8631410560182925,0.9333333333333333,0.92
F031,2089,0.5372620084454958,0.2541867851363032,0.8666666666666667,0.68
F032,30091,0.4062357574710846,0.4485033640211408,0.7866666666666666,0.6
F033,22558,0.7987782178300119,0.7944193077103954,0.9600000000000001,0.9400000000000001
F034,111,0.45721925133689834,0.39941428708562604,1.0,0.28
F035,12852,0.2289123572858079,0.19828424335895845,0.5800000000000001,0.74
F036,14875,0.8747606386940225,0.8759166466452045,1.0,1.0
F037,5663,0.8217393586212037,0.8784330205501626,1.0,0.88
F038,11405,0.6958108239781007,0.7037314305143243,0.8133333333333334,0.88
F039,31867,0.8359944488547422,0.8742848802323376,0.9133333333333333,0.9600000000000001
F040,26968,0.5724115339231711,0.5768456318133489,0.8266666666666667,0.68
F041,8034,0.4422554966095965,0.26778925132681203,0.8600000000000001,0.5800000000000001
F042,13169,0.7100840336134453,0.6920354684034088,0.8733333333333333,0.88
F043,32596,0.3883144900136426,0.2893420646409926,0.6666666666666666,0.6
F044,1455,0.6032837400436992,0.645297595211855,0.9333333333333335,0.64
F045,4018,0.6106870229007634,0.6206236759823527,0.7333333333333333,1.0
F046,3416,0.6841249482233532,0.7399227647636337,0.9733333333333334,0.66
F047,8583,0.7234117741195594,0.7275175073043296,0.8733333333333333,0.92
F048,31915,0.5165156652445354,0.5094861750436549,0.8533333333333333,0.68
F049,16745,0.43541973820480057,0.42390573178412877,0.76,0.66
F050,2995,0.07266591197163558,0.09831204519889948,0.5399999999999999,0.46
F051,1211,0.8041179191493569,0.8333141431626907,0.8133333333333332,1.0
F052,21741,0.5457419081948736,0.6246189910307339,0.88,0.76
F053,15396,0.8491398651667897,0.8815119381006505,0.9666666666666667,0.92
F054,16256,0.5640768159402113,0.6263782975663561,0.8533333333333334,0.8
F055,15075,0.6505114932695137,0.5682127222497619,0.7466666666666666,1.0
F056,26869,0.6314852619779352,0.6343498770014452,0.9466666666666668,0.6
F057,9959,0.6712404818751625,0.6334719793932577,0.9866666666666667,0.72
F058,664,0.7410217400057432,0.7854296038477516,0.96,0.88
F059,13430,0.8445547309443913,0.9275330586966034,0.8733333333333334,1.0
F060,23183,0.9320363648608838,0.9276585083100789,1.0,1.0
F061,24744,0.8951588012689766,0.8799788128882412,0.8933333333333333,1.0
F062,11660,0.6606242943142295,0.7147652598526203,0.9600000000000001,0.72
F063,26485,0.6823127390182129,0.6410688991003266,0.8400000000000001,0.92
F064,18310,0.5025322817563483,0.7306380551566719,0.6666666666666666,0.88
F065,24761,0.803544260183646,0.8153168369736455,0.9,1.0
F066,27061,0.8173142451012665,0.7910190022023186,0.9866666666666667,0.88
F067,10916,0.8361034329962775,0.7712886102501408,0.9866666666666667,0.96
F068,21125,0.3504069791080131,0.26899810287133796,0.7533333333333334,0.6
F069,3459,0.8186441695631453,0.832047118168535,1.0,0.92
F070,18730,0.9168659580728898,0.7631113485470193,0.9,1.0
F071,21203,0.7665117945168746,0.7161078876742932,0.8133333333333334,1.0
F072,32508,0.4327508902228877,0.45689965669161864,0.7266666666666666,0.76
F073,19840,0.7804820292787109,0.7545663141863033,0.9666666666666667,0.8
F074,14833,0.8464479169737046,0.8669237293673832,0.9866666666666667,1.0
F075,12544,0.5477214232787121,0.44587406565748505,0.8066666666666666,0.84
F076,26144,0.8536089891004117,0.8997921606369323,0.9066666666666667,1.0
F077,29590,0.8182566322493356,0.835571969796625,0.9533333333333334,1.0
F078,19038,0.8495036856270392,0.8084635271480264,1.0,1.0
