representation,top_n,n_labels,n_features_mean,macro_auc,macro_auc_label_std,macro_average_precision,macro_average_precision_label_std,macro_f1,macro_f1_label_std,macro_balanced_accuracy,macro_balanced_accuracy_label_std,macro_auc_seed_std,macro_auc_seed_se,macro_average_precision_seed_std,macro_average_precision_seed_se,macro_f1_seed_std,macro_f1_seed_se,macro_balanced_accuracy_seed_std,macro_balanced_accuracy_seed_se
Full SAE,-1,7,32768.0,0.8761506565679867,0.056101716261919926,0.5506710111870328,0.1918740888446861,0.5289857589760644,0.1410098037338422,0.7986281875606833,0.07171309780469444,,,,,,,,
Hidden State,-1,7,4096.0,0.8865101081272816,0.05769507506799235,0.6416658666667405,0.17072892651862825,0.605842323552855,0.13420679797365107,0.7916878641382086,0.06996929896423461,,,,,,,,
PCA-n,10,7,10.0,0.8722567822817948,0.043490162473201796,0.453852818165052,0.20121024810093785,0.43029093118049466,0.17795588489718037,0.7943588374602913,0.042168851671337895,,,,,,,,
PCA-n,20,7,20.0,0.8999035043492152,0.032650284348387945,0.537890157485493,0.20704793773025276,0.4779399588727438,0.18378456350439157,0.8197908844390515,0.03532804424174361,,,,,,,,
PCA-n,50,7,50.0,0.9168838460626751,0.03069560181997381,0.5959780370829726,0.19987604025739908,0.5256686016412776,0.17228648365038415,0.8381834706447627,0.035280846542601704,,,,,,,,
PCA-n,100,7,100.0,0.9207086936674619,0.030054259352518972,0.6406623680022683,0.1738137632301363,0.5531778082041908,0.16266733723541346,0.8375825352056834,0.03998098506919316,,,,,,,,
PCA-n,200,7,200.0,0.9200275826333705,0.03453070904506638,0.655251520596245,0.1680439853908107,0.597756417567448,0.14248006514162517,0.8352873211477958,0.04825799489583389,,,,,,,,
Random SAE-n,10,7,10.0,0.5520374423788248,0.015106805397372752,0.1446471003518298,0.07440006577603032,0.19273313662500485,0.08518748373148263,0.5423116613950653,0.01209997871557878,0.013567795113740101,0.0030338512179112357,0.011170480742484772,0.0024977954281548273,0.01567434235777635,0.003504889501459225,0.011714159965721997,0.0026193657982660993
Random SAE-n,20,7,20.0,0.5808484255205816,0.015857136014969873,0.16046016053480322,0.08773015097795753,0.21523352182391767,0.1070468285495082,0.561292997592308,0.013096159799091189,0.01481417996325529,0.0033125513428754164,0.01249618935351922,0.0027942328854178126,0.015310204804335701,0.0034234658691938494,0.01454498289947725,0.0032523570494803118
Random SAE-n,50,7,50.0,0.6440610009118926,0.03443171455903928,0.2053492763559042,0.11248970760728814,0.2486703511891266,0.12329566653233233,0.6054077083827927,0.024736536812316464,0.015212853914113027,0.0034016975483730475,0.015452216659646887,0.003455220685402517,0.00867911789909347,0.0019407097607108158,0.011275971871938845,0.002521383961803081
Random SAE-n,100,7,100.0,0.6990208992593409,0.036831454404745945,0.25348919954453736,0.12821502801446377,0.2850064557436415,0.12925897042002554,0.6491486650619576,0.02971277206047925,0.013757395950811116,0.0030762472539394006,0.018105538606866912,0.004048521509420125,0.010614915650473143,0.0023735672969884343,0.010975475514630916,0.0024541909336099213
Random SAE-n,200,7,200.0,0.7409262221535042,0.03697594513999294,0.2954296807776489,0.14349214727546442,0.32452844299085504,0.13392875862652068,0.6842623954621665,0.029178709099465794,0.009906284449439024,0.0022151125433394737,0.01731290139647622,0.003871282441027186,0.011014988315310534,0.0024630262644400242,0.008646629176971168,0.001933445061594059
Stable Core SAE,-1,7,32.57142857142857,0.8527836266777283,0.07929292453131279,0.5567842146851356,0.18439253887630466,0.48447307789765215,0.18225751809537982,0.7891858054399034,0.06848794054026154,,,,,,,,
Top-n SAE,10,7,10.0,0.8100930474171629,0.09460059310075024,0.47652513873906843,0.19747199877066207,0.4482788058105852,0.18144484635601715,0.7549969313119365,0.07873435710048995,,,,,,,,
Top-n SAE,20,7,20.0,0.8393632535884255,0.08377828105854551,0.5123652309471929,0.19833321930532788,0.46771119002758477,0.17632810568081286,0.7748768539863772,0.06887539024090147,,,,,,,,
Top-n SAE,50,7,50.0,0.8559938359020648,0.07733946809858677,0.5391725096235253,0.2033530190649308,0.49174123990077767,0.17314048612570812,0.7912494475727707,0.0724176207484386,,,,,,,,
Top-n SAE,100,7,100.0,0.8654874295177482,0.0722828604871421,0.5443064856736927,0.20793970528816,0.49965043299427336,0.17881783215063926,0.7913443643564776,0.06881837647553239,,,,,,,,
Top-n SAE,200,7,200.0,0.8519626491127054,0.07034713895429912,0.531813916328272,0.20857456222403936,0.5049333762176409,0.17351416678077466,0.7828164150498813,0.06804688416745401,,,,,,,,
