representation,top_n,label,n_observations,n_features_mean,auc_mean,auc_std,auc_se,average_precision_mean,average_precision_std,average_precision_se,f1_mean,f1_std,f1_se,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_se
Full SAE,-1,AF,5,32768.0,0.9336949119352056,0.010776924438641176,0.0048195871266360855,0.6262876446770329,0.03492492511828341,0.015618901334714318,0.5307962957462516,0.047627797803459625,0.021299798701430176,0.8655595022957119,0.023808408988008574,0.010647444186660828
Full SAE,-1,GI,5,32768.0,0.8353024258321708,0.017471714507026535,0.007813588264236112,0.4916122995056019,0.0518860754336277,0.02320415835105468,0.4619162664071066,0.028105214013265604,0.012569033811168313,0.7459967137475892,0.010349989687387071,0.004628656101483858
Full SAE,-1,QUC,5,32768.0,0.8800667530310669,0.024326844705526256,0.010879295687927512,0.5607203737082481,0.056978916497015,0.025481746114321947,0.5816202710077093,0.03122447708419012,0.013964010664426705,0.8171965047573722,0.02447595647456546,0.010945980498290894
Full SAE,-1,QUO,5,32768.0,0.941853454161078,0.009095566952409862,0.0040676611998978094,0.8647742754988123,0.015835307732787744,0.0070817649070282936,0.7669319515977865,0.01472242862417685,0.0065840702395096274,0.8804713740987798,0.012001339917801274,0.005367162375457077
Full SAE,-1,REC,5,32768.0,0.8893942073846459,0.014247709229649453,0.0063717692722294675,0.6472233721218726,0.04490183855935923,0.020080712666689694,0.6056617723090181,0.030730696942570294,0.013743185471906425,0.8122166282097554,0.02085168837753879,0.009325158531563805
Full SAE,-1,RES,5,32768.0,0.7792494171955725,0.039078079298731264,0.017476248348418082,0.2687760031160035,0.048460057361899976,0.021671996490949495,0.33364910632279415,0.033262712667909165,0.014875537328297656,0.6706481112470766,0.027200909853062238,0.012164616696258195
Full SAE,-1,SU,5,32768.0,0.8734934264361675,0.0553502981646776,0.02475340585422019,0.3953031096816577,0.08866036196694779,0.03965011925356644,0.4223246494417839,0.07809061412243257,0.034923184316492856,0.7983084785684984,0.0683001692796858,0.030544764276824055
Hidden State,-1,AF,5,4096.0,0.9561218178740981,0.01139684283644537,0.005096823062234673,0.7708263672351603,0.038687349273394366,0.01730150856891738,0.698141717576078,0.04453343496358227,0.019915957570027166,0.8553442493858826,0.027510630707155485,0.012303128073018555
Hidden State,-1,GI,5,4096.0,0.8374341776060941,0.014535172157173556,0.006500326601620465,0.5134341809140212,0.029607691325031757,0.013240962091920366,0.48559106561982707,0.014892380343989198,0.00666007495918831,0.7221370453819128,0.015520203857252243,0.0069408461698940915
Hidden State,-1,QUC,5,4096.0,0.89175598000654,0.014070524409665663,0.0062925298118165045,0.6830020890661732,0.03558019906858331,0.015911948754065396,0.644324455204144,0.039323126138962244,0.017585836626903682,0.8116821283931405,0.02585902990400092,0.011564509739509184
