feature_id,representation_family,target_label_private,spearman_rho,pearson_response,positive_vs_control_auroc,high_vs_weak_pair_accuracy
F001,PCA-50,QUO,0.5022556390977443,0.54477554965224,0.8400000000000001,0.6
F002,PCA-50,QUO,0.455572805801214,0.4799257194530782,0.8933333333333333,0.56
F003,SAE,QUC,0.7120179128294883,0.5999922106905174,0.8266666666666667,0.9400000000000001
F004,SAE,QUO,0.7997812955598367,0.8345505912271266,0.9,0.92
F005,PCA-50,REC,0.8077165790844756,0.7280757591268674,0.8599999999999999,0.92
F006,PCA-100,AF,0.0015048913214254266,-0.05266714047639511,0.54,0.44
F007,PCA-100,QUC,-0.017172727578243716,-0.13369274131015446,0.4866666666666667,0.64
F008,SAE,QUO,-0.007977185962455786,-0.18711960446874754,0.4,0.56
F009,PCA-100,QUO,0.5097744360902255,0.5815083047608234,0.6666666666666665,0.8
F010,PCA-100,QUO,0.23617903136940666,0.2837014867086856,0.5533333333333333,0.68
F011,PCA-100,REC,0.32957119939216845,0.24401359026002342,0.6466666666666667,0.78
F012,SAE,AF,0.5300418543261438,0.5738545158658331,0.7266666666666667,0.88
F013,PCA-100,REC,0.8815344737737089,0.9233613790286641,0.8666666666666666,1.0
F014,PCA-100,QUC,0.08120300751879699,0.06787737764831979,0.6,0.52
F015,PCA-50,REC,0.2895825703096228,0.3425549074657796,0.6733333333333333,0.64
F016,PCA-100,REC,0.00303038999177781,0.1078188199677849,0.5066666666666667,0.52
F017,PCA-50,AF,0.31840472808379633,0.5132060376606398,0.62,0.6
F018,PCA-100,QUC,0.4631578947368421,0.5168482386066435,0.7466666666666666,0.72
F019,PCA-50,QUC,0.32505652542789215,0.37894808807165503,0.7866666666666666,0.56
F020,PCA-50,QUC,0.3032356012672235,0.3118057123554219,0.7066666666666668,0.56
F021,PCA-50,REC,0.909364487024244,0.9199477544070473,0.9133333333333333,1.0
F022,SAE,QUC,0.5720988326579589,0.5540999569917442,0.9333333333333333,0.76
F023,PCA-100,AF,0.49116212574593154,0.4583075391304706,0.8933333333333333,0.64
F024,SAE,QUO,0.7399802441733173,0.670802921684506,0.8933333333333333,0.92
F025,SAE,REC,0.5522307616084845,0.5350767129426292,0.7999999999999999,0.78
F026,SAE,AF,0.6955299460555993,0.76721735252616,1.0,0.6
F027,PCA-50,QUC,0.7535046837681826,0.8786427410886497,0.7,1.0
F028,PCA-50,AF,0.323230392919912,0.4881171536281909,0.6799999999999999,0.76
F029,SAE,REC,0.7997256937330807,0.9257877999980214,0.9400000000000001,1.0
F030,PCA-100,AF,0.2489657942142471,0.3671981815376176,0.5866666666666667,0.74
F031,SAE,AF,0.6511355973286902,0.6612806268332374,0.8733333333333333,0.84
F032,PCA-100,AF,-0.09025950243416814,-0.08739506518261085,0.36,0.54
F033,PCA-50,QUO,0.030097826428508532,0.06895870877033718,0.5333333333333332,0.54
F034,SAE,REC,0.27624344886991836,0.3982493457132033,0.6133333333333334,0.72
F035,PCA-50,AF,0.1008277185355036,0.16798220381771534,0.4,0.8
F036,SAE,AF,0.8498068289354102,0.728588056015767,0.9666666666666667,0.92
F037,PCA-50,AF,0.4724955556031601,0.4814747989406807,0.7266666666666666,0.72
F038,SAE,REC,0.65224915246917,0.6232358275080051,0.74,0.92
F039,SAE,QUO,0.8785027356092516,0.6889757572979753,0.9733333333333334,0.92
F040,PCA-100,QUO,0.41823514309612353,0.3930382495127823,0.6533333333333333,0.88
F041,PCA-50,QUO,-0.31172693519770966,-0.13233554043355863,0.44,0.4
F042,SAE,QUC,0.7593982346818451,0.7708994247956218,0.8066666666666666,0.96
F043,PCA-50,REC,0.388115860466923,0.4694444444000433,0.8066666666666666,0.64
F044,PCA-100,REC,0.14887218045112782,0.2384647494467758,0.4666666666666667,0.72
F045,PCA-100,QUO,0.4069199234740413,0.42304295499342687,0.6133333333333333,0.84
F046,SAE,QUC,0.13306880966967713,0.3184850184469187,0.47333333333333333,0.7
F047,PCA-100,QUC,0.8920267750784837,0.9283154680093146,0.8800000000000001,1.0
F048,PCA-50,QUC,0.13233082706766916,0.1159533392815487,0.45333333333333337,0.68
