label,latent_idx,n_positive,n_negative,prevalence,pos_mean,neg_mean,mean_diff,cohens_d,abs_cohens_d,auc,directional_auc,auc_effect,p_value,significant_fdr,precision_at_10,precision_lift_at_10,precision_at_50,precision_lift_at_50,full_data_rank,inclusion_frequency,inclusion_count,n_half_runs,cohens_d_ci_lo,cohens_d_ci_hi,ci_excludes_zero,rank_within_label,cross_quality_max_auc_drop,cross_quality_tested,top_k_star,label_selection_status,stable_claim_allowed,ci_supported,cross_quality_stable,cross_quality_risk_or_missing,stable_set_role
RES,20808,416,4602,0.082901554404145,0.8412804,0.27997848,0.56130195,0.7116696,0.7116696,0.6387069,0.6387069,0.27741385,4.7048095e-20,True,0.3,0.21709846,0.24,0.15709844,1,1.0,40,40,0.5392990007996559,0.9165279358625408,True,1,0.0431774854660034,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,11435,416,4602,0.082901554404145,31.528002,21.843624,9.684378,0.5004963,0.5004963,0.6231169,0.6231169,0.24623382,3.4491795e-28,True,0.2,0.11709845,0.12,0.037098445,2,1.0,40,40,0.3988529123365879,0.5939400225877761,True,2,0.0455811023712158,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,28269,416,4602,0.082901554404145,0.22833252,0.091597825,0.1367347,0.46738258,0.46738258,0.57458586,0.57458586,0.14917171,8.9892505e-10,True,0.0,-0.08290155,0.4,0.31709844,3,0.975,39,40,0.3061997532844543,0.6342958584427834,True,3,0.0179363489151,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,29759,416,4602,0.082901554404145,0.42856538,0.21621798,0.2123474,0.4349086,0.4349086,0.6175926,0.6175926,0.23518515,6.622028e-13,True,0.0,-0.08290155,0.08,-0.002901554,4,1.0,40,40,0.3127141505479812,0.5717256277799605,True,4,0.0134640336036682,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,1516,416,4602,0.082901554404145,0.67248535,0.36588416,0.3066012,0.42111248,0.42111248,0.61571187,0.61571187,0.23142374,1.6059817e-12,True,0.2,0.11709845,0.08,-0.002901554,5,0.95,38,40,0.2909542232751846,0.5608838602900504,True,5,0.0824264287948608,True,55,performance_only_unstable,False,True,False,True,stable_core
RES,19435,416,4602,0.082901554404145,0.71400803,0.40889704,0.305111,0.41644457,0.41644457,0.57857394,0.57857394,0.15714788,4.3794124e-10,True,0.4,0.31709844,0.24,0.15709844,6,1.0,40,40,0.2809990964829921,0.5608742579817769,True,6,0.0303050875663757,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,8468,416,4602,0.082901554404145,0.17878605,0.07989903,0.09888703,0.40368426,0.40368426,0.56615984,0.56615984,0.13231969,7.913984e-09,True,0.1,0.01709845,0.24,0.15709844,7,0.9,36,40,0.2688958652317524,0.5352742388844489,True,7,0.0183832049369812,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,2767,416,4602,0.082901554404145,0.051325873,0.012199604,0.03912627,0.3566488,0.3566488,0.52371645,0.52371645,0.0474329,9.2522576e-05,True,0.3,0.21709846,0.4,0.31709844,8,0.775,31,40,0.1731870327144861,0.5551426127552985,True,8,0.0324790477752685,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,26319,416,4602,0.082901554404145,0.33409235,0.15328848,0.18080387,0.35091776,0.35091776,0.55786884,0.55786884,0.11573768,2.0718755e-07,True,0.0,-0.08290155,0.08,-0.002901554,9,0.85,34,40,0.2235084716230631,0.4945979699492454,True,9,0.0062642693519592,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,17442,416,4602,0.082901554404145,0.07215764,0.021394825,0.05076281,0.3390087,0.3390087,0.52478987,0.52478987,0.04957974,9.434134e-05,True,0.2,0.11709845,0.36,0.27709848,10,0.775,31,40,0.1559099536389112,0.5292853489518162,True,10,0.0289753079414367,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,32727,416,4602,0.082901554404145,0.16600154,0.084584065,0.08141748,0.33631402,0.33631402,0.55905616,0.55905616,0.118112326,3.7061403e-07,True,0.2,0.11709845,0.12,0.037098445,11,0.825,33,40,0.2191862564533949,0.4680830791592595,True,11,0.0355018377304077,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,22120,416,4602,0.082901554404145,0.021212064,0.002378806,0.018833257,0.33137894,0.33137894,0.5135636,0.5135636,0.027127147,0.008867443,True,0.5,0.41709846,0.3,0.21709846,12,0.65,26,40,0.1424099810421467,0.5129440113902092,True,12,0.0444677472114563,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
RES,16286,416,4602,0.082901554404145,0.012817383,0.0017073929,0.01110999,0.32882038,0.32882038,0.5122666,0.5122666,0.024533153,0.004203704,True,0.7,0.61709845,0.3,0.21709846,13,0.65,26,40,0.1200535755604505,0.5342731907963751,True,13,0.0452641248703002,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
RES,29701,416,4602,0.082901554404145,0.096228965,0.040546656,0.05568231,0.32571822,0.32571822,0.54679245,0.54679245,0.093584895,4.722592e-06,True,0.1,0.01709845,0.22,0.13709845,14,0.7,28,40,0.183276879787445,0.4813242502510546,True,14,0.0076749920845031,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,31930,416,4602,0.082901554404145,1.1307561,0.7307544,0.40000176,0.3246986,0.3246986,0.5678491,0.5678491,0.1356982,2.7287083e-08,True,0.1,0.01709845,0.1,0.01709845,15,0.725,29,40,0.2061260517686605,0.4472599580883979,True,15,0.0424638986587524,True,55,performance_only_unstable,False,True,True,False,stable_core
RES,13966,416,4602,0.082901554404145,0.24610314,0.103614084,0.14248905,0.31970447,0.31970447,0.55093575,0.55093575,0.10187149,6.6776543e-06,True,0.0,-0.08290155,0.18,0.097098455,16,0.7,28,40,0.182455176115036,0.476093082875013,True,16,0.0529875755310058,True,55,performance_only_unstable,False,True,False,True,stable_core
RES,14602,416,4602,0.082901554404145,0.043565016,0.013278024,0.030286992,0.30695945,0.30695945,0.52428395,0.52428395,0.04856789,0.0002530364,True,0.1,0.01709845,0.3,0.21709846,17,0.675,27,40,0.1405990649014711,0.4913071751594543,True,17,0.0321273207664489,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
RES,7140,416,4602,0.082901554404145,0.079092175,0.024181062,0.054911114,0.3065039,0.3065039,0.5211572,0.5211572,0.04231441,0.00052881805,True,0.4,0.31709844,0.34,0.25709844,18,0.675,27,40,0.1368864495307207,0.483260953426361,True,18,0.0313031077384948,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
RES,16320,416,4602,0.082901554404145,0.43961746,0.25595403,0.18366343,0.30506244,0.30506244,0.5330341,0.5330341,0.06606817,1.3420016e-05,True,0.3,0.21709846,0.26,0.17709844,19,0.65,26,40,0.1807914987206459,0.4453605405986307,True,19,0.0297440290451049,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
RES,19079,416,4602,0.082901554404145,0.06731239,0.018346727,0.048965663,0.29480442,0.29480442,0.5238021,0.5238021,0.047604203,0.0024722116,True,0.4,0.31709844,0.2,0.11709845,20,0.575,23,40,0.1578891094774007,0.4305190198123454,True,20,0.0011524541946411,True,55,performance_only_unstable,False,True,True,False,boundary_candidate
