feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F001,20808,0.7780773199906728,0.8563466957385261,0.7266666666666666,1.0
F002,11435,-0.0017857171328420863,0.03846266452347686,0.35333333333333333,0.68
F003,28269,0.5803639769724189,0.6717128681506677,0.8,0.88
F004,29759,0.34524964399436053,0.3566908324228777,0.6066666666666667,0.8200000000000001
F005,1516,-0.034185696924566786,0.025458593798133866,0.5666666666666667,0.4
F006,19435,0.9447321583914828,0.8045582555342782,1.0,1.0
F007,8468,0.4797242461390758,0.39040095150568,0.7733333333333333,0.84
F008,2767,0.9060154247751385,0.8440712787636072,0.9733333333333333,1.0
F009,26319,0.7790392102603778,0.7786809055379893,0.9,0.8
F010,17442,0.8941321346607786,0.7872032162068496,1.0,0.98
F011,32727,0.07427248203475131,0.0006931247402722851,0.4733333333333334,0.64
F012,29701,0.08422047647091392,-0.1019693904627396,0.6733333333333333,0.30000000000000004
F013,31930,0.9323930511607764,0.9747904215968127,1.0,1.0
F014,13966,0.8684291194187799,0.841564599867049,0.9600000000000001,0.96
F015,31133,0.8620383757148141,0.8385597637402987,1.0,1.0
F016,20436,0.2818262692353363,0.22860450389210224,0.56,0.68
F017,26800,0.8079073532641041,0.8204718044226785,0.9733333333333334,1.0
F018,3993,0.5993260947855493,0.5124899156302353,0.9400000000000001,0.62
F019,30224,0.4067032702833432,0.36295242380989895,0.7666666666666666,0.6
F020,16292,0.8883952367740732,0.883005670415945,0.94,1.0
F021,10181,0.47533380219981114,0.4709329936100389,0.6933333333333334,0.88
F022,15068,0.8857846633920784,0.7559415695684911,0.9333333333333333,1.0
F023,21800,0.7011127826198503,0.6415115079775721,0.9066666666666666,0.76
F024,23670,0.7889908256880733,0.7240735281784736,1.0,0.84
F025,29874,0.7791353748805582,0.763090667817778,0.96,0.92
F026,29190,0.848954452674845,0.8369717709189206,0.9666666666666667,0.88
